id,Order number,Date,Plant family,Placement,Phone,Color,Cost
1,1619,7/12/2018,Asteraceae,71 Rutledge Place,982-480-5919,Khaki,5.09
2,1556,6/27/2018,Solanaceae,0290 Florence Avenue,262-509-4907,Yellow,7.90
3,1219,10/20/2018,Fagaceae,8 Fairfield Street,234-838-6235,Puce,9.77
4,1012,6/18/2018,Fabaceae,4100 Swallow Point,256-551-8984,Turquoise,7.60
5,1989,8/7/2018,Saxifragaceae,785 Waubesa Park,154-491-0827,Pink,6.14
6,2418,5/23/2018,Fabaceae,96569 Mayfield Park,103-656-1377,Teal,8.61
7,1694,6/19/2018,Caryophyllaceae,8 Esker Avenue,951-978-5655,Red,6.05
8,1503,7/19/2018,Scrophulariaceae,3188 Banding Park,443-355-6264,Red,9.78
9,2678,6/19/2018,Lauraceae,723 Nova Park,338-930-2291,Red,5.62
10,1641,5/18/2018,Rhamnaceae,5077 Jay Crossing,575-873-9216,Crimson,7.57
11,1017,10/14/2018,Calycanthaceae,141 Ronald Regan Crossing,827-708-8119,Violet,9.03
12,2133,10/6/2018,Asteraceae,74949 Knutson Crossing,755-574-6466,Blue,8.32
13,2217,7/17/2018,Fabaceae,34 Cherokee Street,833-315-5516,Blue,6.24
14,1969,9/24/2018,Cactaceae,84892 Norway Maple Alley,959-445-4655,Orange,9.98
15,1558,10/20/2018,Boraginaceae,49 Raven Park,391-783-6997,Blue,5.58
16,2228,8/12/2018,Liliaceae,207 Roxbury Place,770-587-0840,Goldenrod,8.32
17,1358,5/16/2018,Liliaceae,69260 Prentice Hill,283-832-8271,Khaki,8.04
18,2181,6/7/2018,Parmeliaceae,1606 Service Center,602-250-5404,Blue,7.20
19,2535,9/4/2018,Stereocaulaceae,4322 Northridge Alley,879-456-9830,Maroon,9.84
20,2503,5/12/2018,Poaceae,07890 Sullivan Pass,592-819-9757,Mauv,7.27
21,1794,8/11/2018,Asteraceae,37 Farwell Circle,930-772-5939,Fuscia,7.58
22,1570,6/10/2018,Ericaceae,6 Ohio Pass,636-449-3107,Goldenrod,9.86
23,1880,5/3/2018,Fabaceae,3818 Westport Way,307-560-1192,Teal,7.90
24,1793,5/17/2018,Liliaceae,85 Manitowish Drive,713-336-5171,Red,7.05
25,1823,7/7/2018,Onagraceae,9195 Bobwhite Avenue,905-195-6312,Puce,7.45
26,2780,10/27/2018,Poaceae,415 Bunker Hill Way,213-316-6733,Orange,7.40
27,2461,9/3/2018,Primulaceae,148 Quincy Park,749-631-9252,Blue,7.29
28,2624,6/19/2018,Brassicaceae,97 Miller Street,930-979-8117,Green,8.16
29,2273,6/11/2018,Scrophulariaceae,83003 Memorial Point,731-481-4430,Yellow,9.54
30,2567,5/8/2018,Asteraceae,3 Everett Center,122-221-5219,Pink,5.09
31,1976,8/23/2018,Poaceae,33921 Park Meadow Terrace,724-770-5130,Mauv,9.46
32,2813,7/18/2018,Fabaceae,37 Heffernan Trail,498-778-4318,Orange,9.47
33,2395,5/19/2018,Fabaceae,94 Larry Road,375-552-1523,Teal,5.77
34,1167,8/2/2018,Boraginaceae,84372 Oak Valley Court,739-496-2497,Blue,5.60
35,2663,9/22/2018,Brassicaceae,65113 Heath Drive,836-215-3784,Yellow,7.71
36,2208,7/17/2018,Parmeliaceae,9 Goodland Avenue,336-386-3967,Crimson,7.47
37,1235,8/26/2018,Campanulaceae,0 Hauk Place,526-454-6300,Puce,7.91
38,2748,7/17/2018,Anacardiaceae,1 Cherokee Trail,632-450-1933,Yellow,5.55
39,2599,5/26/2018,Theaceae,99072 Carioca Drive,105-851-9775,Blue,9.37
40,2559,9/12/2018,Dicranaceae,5 Arapahoe Way,714-969-7162,Khaki,9.22
41,1288,7/4/2018,Asteraceae,9972 Mariners Cove Pass,147-782-8714,Aquamarine,8.48
42,2326,7/28/2018,Fabaceae,65 Burrows Street,627-438-0608,Turquoise,5.15
43,2318,6/11/2018,Pittosporaceae,0541 Duke Court,721-227-6626,Maroon,9.51
44,1111,5/1/2018,Solanaceae,64 Moulton Crossing,157-136-6477,Maroon,8.21
45,1541,9/24/2018,Fabaceae,8722 Harper Hill,904-525-7410,Green,7.04
46,1604,7/28/2018,Asteraceae,4647 Acker Crossing,522-147-7810,Violet,5.93
47,2242,6/17/2018,Hypnaceae,7 Vermont Lane,452-357-6436,Green,5.69
48,1977,6/3/2018,Thelypteridaceae,10974 Delaware Lane,467-345-1914,Aquamarine,6.21
49,1102,10/8/2018,Cyperaceae,84732 Dennis Drive,689-942-3985,Pink,9.15
50,2431,6/8/2018,Brassicaceae,47 Bunting Park,657-682-7116,Teal,8.15
51,1425,10/28/2018,Oxalidaceae,5077 Karstens Place,760-557-5209,Fuscia,7.48
52,2575,9/7/2018,Berberidaceae,255 Fulton Street,435-897-5710,Orange,9.89
53,2325,8/21/2018,Asteraceae,79 Logan Plaza,293-163-3468,Blue,8.51
54,2670,8/5/2018,Rosaceae,18 Maple Center,997-279-6026,Mauv,8.94
55,1490,10/26/2018,Bignoniaceae,29067 Bultman Circle,258-119-4322,Pink,9.22
56,1820,10/7/2018,Fabaceae,65172 Cody Alley,399-291-0963,Violet,9.26
57,1447,8/21/2018,Onagraceae,94 Lighthouse Bay Court,173-198-6069,Goldenrod,9.63
58,1505,10/5/2018,Primulaceae,5 Hermina Alley,387-575-6708,Green,7.82
59,1244,8/17/2018,Apiaceae,0709 Kenwood Avenue,535-678-8495,Red,7.77
60,2263,9/18/2018,Ditrichaceae,2 Di Loreto Park,535-203-5646,Teal,7.74
