{us:gov:federal:hc}HireDate,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}DOB,{us:gov:federal:hc}Gender,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MaritalStatus,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}AdjBasicPay,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}BargUnitStatus,{us:gov:federal:hc}BasicPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OccSeries,{us:gov:federal:hc}OrgCode,{us:gov:federal:hc}POI,{us:gov:federal:hc}PON,{us:gov:federal:hc}PRD,{us:gov:federal:hc}PayBasis,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayTableID,{us:gov:federal:hc}PosApprText,{us:gov:federal:hc}PosNumber,{us:gov:federal:hc}PosOrgTitle,{us:gov:federal:hc}PosTitle,{us:gov:federal:hc}SSPPayTableID,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}TODHrs,{us:gov:federal:hc}Tenure,{us:gov:federal:hc}TotalSalary,{us:gov:federal:hc}WorkSchedule,{us:gov:federal:hc}AnnuitantInd,{us:gov:federal:hc}FEGLI,{us:gov:federal:hc}RetirementPlan,{us:gov:federal:hc}SCDLeave,{us:gov:federal:hc}SCDRetirement,{us:gov:federal:hc}TypeOfAppt,{us:gov:federal:hc}VetPref,{us:gov:federal:hc}VetPrefRIF,{us:gov:federal:hc}TSPAcctTypeCode,{us:gov:federal:hc}TSPAmt,{us:gov:federal:hc}TSPEffectiveDate,{us:gov:federal:hc}TSPRate,{us:gov:federal:hc}TSPSCD,{us:gov:federal:hc}TSPStatusCode,{us:gov:federal:hc}TSPStatusDate,{us:gov:federal:hc}FEHBCode
2021-01-31,00001528,1990-12-05,M,Adam,One,S,NMN,02,310001000,Yes,Wilmington,1319 Main St,19801,DE,002,US,0,GS28,8888,158000,100490003,N,00,0301,ISE,1155,047 000016,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,3,158000,F,9,A0,KR,2021-01-31,2021-01-31,10,1,N,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,EP1
2021-01-31,00001529,1979-07-16,F,ADam,Two,M,NMN,02,310001001,Yes,Clarksville,4116 Main St,37040,TN,002,US,0,GS28,8888,160000,100490003,N,00,0301,ISE,1155,047 000016,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,3,160000,F,9,Q2,K,2021-01-31,2021-01-31,10,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,KK2
2021-01-31,00001541,1995-02-27,F,Estella,One,S,NMN,02,310001005,Yes,Rockville,3831 Main St,20850,MD,002,US,0,GS28,8888,135000,080600031,E,00,2210,ISE,1155,047 000016,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,0,135000,F,9,C0,KF,2021-01-31,2021-01-31,10,1,N,1,250,2021-01-31,0,2021-01-31,Y,2021-01-31,111
2021-01-31,00001542,1973-08-11,M,EStella,Two,S,NMN,02,310001006,Yes,Ogden,3881 Main St,84404,UT,002,US,0,GS28,8888,145000,080600031,E,00,2210,ISE,1155,047 000016,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,0,145000,F,9,F2,K,2021-01-31,2021-01-31,10,1,N,1,55,2021-01-31,0,2021-01-31,Y,2021-01-31,G51
2021-01-31,00001544,1970-10-09,F,EStella,Three,M,NMN,02,310001007,Yes,Hobbs,3995 Main St,88240,NM,002,US,0,GS28,8888,155000,080600031,E,00,2210,ISE,1155,047 000016,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,0,155000,F,9,I1,KF,2021-01-31,2021-01-31,10,1,N,1,260,2021-01-31,0,2021-01-31,Y,2021-01-31,EL2
2021-01-31,00001545,1975-08-20,M,EStella,Four,M,NMN,02,310001008,Yes,Minneapolis,3543 Main St,55414,MN,002,US,0,GS28,8888,165000,080600031,E,00,2210,ISE,1155,047 000016,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,0,165000,F,9,E1,KR,2021-01-31,2021-01-31,10,1,N,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,V32
2021-01-31,00001546,1985-06-08,F,EStella,Five,S,NMN,02,310001009,Yes,Virginia Beach,4834 Main St,23451,VA,002,US,0,GS28,8888,185000,080600031,E,00,2210,ISE,1155,047 000016,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,0,185000,F,9,M1,K,2021-01-31,2021-01-31,10,1,N,1,350,2021-01-31,0,2021-01-31,Y,2021-01-31,B61
2021-01-31,00001547,2000-01-06,F,Greyson,One,S,NMN,02,310001015,Yes,Minneapolis,2591 Main St,55408,MN,002,US,10770,GS28,8888,46083,274760053,N,09,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001193,Communications Specialist,Communications Specialist,0000,01,40,2,56853,F,9,C0,KF,2020-01-19,2020-01-19,10,1,N,1,248,2021-01-31,0,2020-01-19,Y,2021-01-31,V31
2021-01-31,00001548,1979-09-25,M,ADam,Three,M,NMN,02,310001002,No,Richmond,1978 Main St.,23221,VA,002,US,0,GS28,8888,165000,100490003,N,00,0301,ISE,1155,047 000016,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,3,165000,F,9,P0,K,2021-01-31,2021-01-31,20,1,N,1,80,2021-01-31,0,2021-01-31,Y,2021-01-31,JN2
2021-01-31,00001549,1971-05-01,M,ADam,Five,S,NMN,02,310001004,Yes,New Orleans,2392 Main St,70130,LA,002,US,0,GS28,8888,170000,100490003,N,00,0301,ISE,1155,047 000016,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,3,170000,F,9,R4,K,2021-01-31,2021-01-31,20,1,N,1,350,2021-01-31,0,2021-01-31,Y,2021-01-31,H44
