{us:gov:federal:hc}PAEffDate,{us:gov:federal:hc}PAEffSeqNum,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}AlternatePersonID,{us:gov:federal:hc}DOB,{us:gov:federal:hc}Gender,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MaritalStatus,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}SSN,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}LAC1Code,{us:gov:federal:hc}LAC1Desc,{us:gov:federal:hc}NOACode,{us:gov:federal:hc}NOADesc,{us:gov:federal:hc}SSPNOACode,{us:gov:federal:hc}AdjBasicPay,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}BargUnitStatus,{us:gov:federal:hc}BasicPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OccSeries,{us:gov:federal:hc}OrgCode,{us:gov:federal:hc}POI,{us:gov:federal:hc}PRD,{us:gov:federal:hc}PayBasis,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayTableID,{us:gov:federal:hc}PosApprText,{us:gov:federal:hc}PosNumber,{us:gov:federal:hc}PosOrgTitle,{us:gov:federal:hc}PosTitle,{us:gov:federal:hc}SSPPayTableID,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}TODHrs,{us:gov:federal:hc}TotalSalary,{us:gov:federal:hc}WorkSchedule,{us:gov:federal:hc}AnnuitantInd,{us:gov:federal:hc}FEGLI,{us:gov:federal:hc}RetirementPlan,{us:gov:federal:hc}SCDLeave,{us:gov:federal:hc}SCDRetirement,{us:gov:federal:hc}TypeOfAppt,{us:gov:federal:hc}VetPref,{us:gov:federal:hc}VetPrefRIF,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}PAApprovalDate,{us:gov:federal:hc}PAAuthorizerTitle,{us:gov:federal:hc}PersonSignatureInd,{us:gov:federal:hc}TSPAcctTypeCode,{us:gov:federal:hc}TSPAmt,{us:gov:federal:hc}TSPEffectiveDate,{us:gov:federal:hc}TSPRate,{us:gov:federal:hc}TSPSCD,{us:gov:federal:hc}TSPStatusCode,{us:gov:federal:hc}TSPStatusDate,{us:gov:federal:hc}FEHBCode,{us:gov:federal:hc}AgencyUseRemarks,{us:gov:federal:hc}AgencyUseRemarksCode,{us:gov:federal:hc}SSPRemarksCode,{us:gov:federal:hc}NTEDate
2021-01-31,11,00001528,00001528,1990-12-05,M,Adam,One,S,NMN,310001000,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,158000,100490003,N,00,0301,ISE,1155,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,158000,F,9,A0,KR,2021-01-31,2021-01-31,10,1,N,Wilmington,1319 Main St,19801,DE,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,EP1,,,,
2021-01-31,11,00001529,00001529,1979-07-16,F,ADam,Two,M,NMN,310001001,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,160000,100490003,N,00,0301,ISE,1155,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,160000,F,9,Q2,K,2021-01-31,2021-01-31,10,1,N,Clarksville,4116 Main St,37040,TN,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,KK2,,,,
2021-01-31,11,00001541,00001541,1995-02-27,F,Estella,One,S,NMN,310001005,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,135000,080600031,E,00,2210,ISE,1155,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,135000,F,9,C0,KF,2021-01-31,2021-01-31,10,1,N,Rockville,3831 Main St,20850,MD,002,US,Office of GSA IT,2021-04-15,Assistant Human Resources Office,Y,1,250,2021-01-31,0,2021-01-31,Y,2021-01-31,111,,,,
2021-01-31,11,00001542,00001542,1973-08-11,M,EStella,Two,S,NMN,310001006,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,145000,080600031,E,00,2210,ISE,1155,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,145000,F,9,F2,K,2021-01-31,2021-01-31,10,1,N,Ogden,3881 Main St,84404,UT,002,US,Office of GSA IT,2021-04-16,Assistant Human Resources Office,Y,1,55,2021-01-31,0,2021-01-31,Y,2021-01-31,G51,,,,
2021-01-31,11,00001544,00001544,1970-10-09,F,EStella,Three,M,NMN,310001007,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,155000,080600031,E,00,2210,ISE,1155,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,155000,F,9,I1,KF,2021-01-31,2021-01-31,10,1,N,Hobbs,3995 Main St,88240,NM,002,US,Office of GSA IT,2021-04-16,Assistant Human Resources Office,Y,1,260,2021-01-31,0,2021-01-31,Y,2021-01-31,EL2,,,,
2021-01-31,11,00001545,00001545,1975-08-20,M,EStella,Four,M,NMN,310001008,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,165000,080600031,E,00,2210,ISE,1155,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,165000,F,9,E1,KR,2021-01-31,2021-01-31,10,1,N,Minneapolis,3543 Main St,55414,MN,002,US,Office of GSA IT,2021-04-16,Assistant Human Resources Office,Y,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,V32,,,,
2021-01-31,11,00001546,00001546,1985-06-08,F,EStella,Five,S,NMN,310001009,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,185000,080600031,E,00,2210,ISE,1155,0,PA,ES,0000,262.S00IS100.D1.11.O40..,90000082,Chief Information Security Officer,Chief Information Security Off,0000,00,40,185000,F,9,M1,K,2021-01-31,2021-01-31,10,1,N,Virginia Beach,4834 Main St,23451,VA,002,US,Office of GSA IT,2021-04-16,Assistant Human Resources Office,Y,1,350,2021-01-31,0,2021-01-31,Y,2021-01-31,B61,,,,
2021-01-31,11,00001547,00001547,2000-01-06,F,Greyson,One,S,NMN,310001015,Yes,KTM,Reg 315.501.or agy auth.,130,Transfer,130,10770,GS28,8888,46083,274760053,N,09,1001,ISE,1155,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001193,Communications Specialist,Communications Specialist,0000,01,40,56853,F,9,C0,KF,2020-01-19,2020-01-19,10,1,N,Minneapolis,2591 Main St,55408,MN,002,US,Office of GSA IT,2021-04-16,Assistant Human Resources Office,Y,1,248,2021-01-31,0,2020-01-19,Y,2021-01-31,V31,TSP transferred with the following percent/amount being deducted -  5,M40,Z24,
2021-01-31,11,00001548,00001548,1979-09-25,M,ADam,Three,M,NMN,310001002,No,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,165000,100490003,N,00,0301,ISE,1155,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,165000,F,9,P0,K,2021-01-31,2021-01-31,20,1,N,Richmond,1978 Main St.,23221,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,80,2021-01-31,0,2021-01-31,Y,2021-01-31,JN2,,,,
2021-01-31,11,00001549,00001549,1971-05-01,M,ADam,Five,S,NMN,310001004,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,170000,100490003,N,00,0301,ISE,1155,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,170000,F,9,R4,K,2021-01-31,2021-01-31,20,1,N,New Orleans,2392 Main St,70130,LA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,350,2021-01-31,0,2021-01-31,Y,2021-01-31,H44,,,,
