{us:gov:federal:hc}RecordID,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}AnnualAdjPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OfficialPayDate,{us:gov:federal:hc}PPEndDate,{us:gov:federal:hc}PPNum,{us:gov:federal:hc}PPStartDate,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayRate,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}GrossPPAmt,{us:gov:federal:hc}GrossPayDedPPAmt,{us:gov:federal:hc}GrossPayDedYTDAmt,{us:gov:federal:hc}GrossYTDAmt,{us:gov:federal:hc}NetPayPPAmt,{us:gov:federal:hc}NetPayYTDAmt,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}TaxWagesYTDAmt,{us:gov:federal:hc}PayCode,{us:gov:federal:hc}PayPPAmt,{us:gov:federal:hc}PayPPWrkHrs,{us:gov:federal:hc}PayYTDAmt,{us:gov:federal:hc}PayDedCode,{us:gov:federal:hc}PayDedPPAmt,{us:gov:federal:hc}PayDedYTDAmt,{us:gov:federal:hc}GovContCode,{us:gov:federal:hc}GovContPPAmt,{us:gov:federal:hc}GovContYTDAmt,{us:gov:federal:hc}AbsenceCode,{us:gov:federal:hc}LVAccrPPHrs,{us:gov:federal:hc}LVDonaPPHrs,{us:gov:federal:hc}LVPPEndBalHrs,{us:gov:federal:hc}LVUsedPPHrs,{us:gov:federal:hc}LVUsedYTDHrs,{us:gov:federal:hc}LVUseorLoseHrs,{us:gov:federal:hc}LvAnnualAccRate,{us:gov:federal:hc}Remarks,{us:gov:federal:hc}Dependents,{us:gov:federal:hc}AddTaxWithheldAmt,{us:gov:federal:hc}TaxExempt
310001000,ADAM,ONE,NMN,02,310001000,GS28,Office of GSA IT,158000,100490003,N,00,2021-03-24,2021-03-13,202106,2021-01-31,AD,75,00,Wilmington,1319 Main St,19801,DE,001,US,6076,2802.37,8407.1,18230,3274.43,9823.3,Yes,18230,1149,6076.8,80,18230.4,269,188,565,41,50,150,876,0,0,0,0,0,0,0,         ,,,
310001001,ADAM,TWO,NMN,02,310001001,GS28,Office of GSA IT,160000,100490003,N,00,2021-03-24,2021-03-13,202106,2021-01-31,AD,76,00,Clarksville,4116 Main St,37040,TN,001,US,6153,2397.17,7191.51,18460,3756.43,11269.29,Yes,18460,1149,6153.6,80,18460.8,269,49,147,41,100,300,876,0,0,0,0,0,0,0,         ,2,,
310001002,ADAM,THREE,NMN,02,310001002,GS28,Office of GSA IT,165000,100490003,N,00,2021-03-24,2021-03-13,202106,2021-01-31,AD,79,00,Richmond,1978 Main St.,23221,VA,001,US,6346,2357.86,7073.58,19039,3988.54,11965.62,No,19039,1149,6346.4,80,19039.2,269,50,152,41,80,240,876,0,0,0,0,0,0,0,         ,1,,
310001003,ADAM,FOUR,NMN,02,310001003,GS28,Office of GSA IT,170000,100490003,N,00,2021-03-24,2021-03-13,202106,2021-01-31,AD,81,00,Montgomery,4979 Main St,36106,AL,001,US,6538,2909.69,8729.06,19615,3628.71,10886.14,Yes,19615,1149,6538.4,80,19615.2,269,52.31,156.93,41,198.08,594.24,876,0,0,0,0,0,0,0,         ,,,
310001004,ADAM,FIVE,NMN,02,310001004,GS28,Office of GSA IT,170000,100490003,N,00,2021-03-24,2021-03-13,202106,2021-01-31,AD,81,00,New Orleans,2392 Main St,70130,LA,001,US,6538,3067.06,9201.17,19615,3471.34,10414.03,Yes,19615,1149,6538.4,80,19615.2,269,52,156,41,261.54,784.62,876,0,0,0,0,0,0,0,         ,1,50,
310001005,ESTELLA,ONE,NMN,02,310001005,GS28,Office of GSA IT,135000,080600031,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ES,64,00,Rockville,3831 Main St,20850,MD,001,US,5175,2305.22,6915.66,15525,2869.98,8609.94,Yes,15525,1149,5175.2,80,15525.6,269,227.71,683.13,41,202.63,607.89,876,4,0,12,0,0,0,8,         ,1,,
310001006,ESTELLA,TWO,NMN,02,310001006,GS28,Office of GSA IT,145000,080600031,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ES,69,00,Ogden,3881 Main St,84404,UT,001,US,5558,2277.31,6831.92,16675,3281.09,9843.28,Yes,16675,1149,5558.4,80,16675.2,269,44,133,41,55,165,876,4,0,12,0,0,0,8,         ,,,
310001007,ESTELLA,THREE,NMN,02,310001007,GS28,Office of GSA IT,155000,080600031,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ES,74,00,Hobbs,3995 Main St,88240,NM,001,US,5941,2393.51,7180.56,17824,3548.09,10644.24,Yes,17824,1149,5941.6,80,17824.8,269,261,784,41,219.13,657.39,876,4,0,12,0,0,0,8,         ,3,,
310001008,ESTELLA,FOUR,NMN,02,310001008,GS28,Office of GSA IT,165000,080600031,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ES,79,00,Minneapolis,3543 Main St,55414,MN,001,US,6324,2309.38,6928.14,18974,4015.42,12046.26,Yes,18974,1149,6324.8,80,18974.4,269,196.07,588.21,41,50,150,876,4,0,12,0,0,0,8,         ,1,25,
310001009,ESTELLA,FIVE,NMN,02,310001009,GS28,Office of GSA IT,185000,080600031,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ES,88,00,Virginia Beach,4834 Main St,23451,VA,001,US,7091,3111.15,9333.44,21273,3980.05,11940.16,Yes,21273,1149,7091.2,80,21273.6,269,56,170,41,281.37,844.11,876,4,0,12,0,0,0,8,         ,,,
